Area Code,Area,Item Code,Item,Element Code,Element,Source Code,Source,Unit,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020
"29","Burundi","6750","Net Forest conversion","72332","Net emissions/removals (CO2) (Forest land)","3050","FAO TIER 1","kilotonnes","2077.972000","2077.972000","2077.972000","2077.972000","2077.972000","2077.972000","2077.972000","2077.972000","2077.972000","2077.972000","2077.972000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
"29","Burundi","6749","Carbon stock change in forests","72332","Net emissions/removals (CO2) (Forest land)","3050","FAO TIER 1","kilotonnes","2076.549800","2076.549800","2076.549800","2076.549800","2076.549800","2076.549800","2076.549800","2076.549800","2076.549800","2076.549800","2076.549800","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-4943.821200","-4943.821200","-4943.821200","-4943.821200","-4943.821200","0.000000","0.000000","0.000000","0.000000","0.000000"
"35","Cabo Verde","6751","Forestland","5110","Area","3050","FAO TIER 1","1000 ha","15.380000","17.814000","20.248000","22.682000","25.116000","27.550000","29.984000","32.418000","34.852000","37.286000","39.720000","40.020000","40.320000","40.620000","40.920000","41.220000","41.520000","41.820000","42.120000","42.420000","42.720000","43.020000","43.320000","43.620000","43.920000","44.220000","44.520000","44.820000","45.120000","45.420000","45.720000"
"35","Cabo Verde","6751","Forestland","72332","Net emissions/removals (CO2) (Forest land)","3050","FAO TIER 1","kilotonnes","-510.490900","-510.490900","-510.490900","-510.490900","-510.490900","-510.490900","-510.490900","-510.490900","-510.490900","-510.490900","-510.490900","-62.920000","-62.920000","-62.920000","-62.920000","-62.920000","-62.920000","-62.920000","-62.920000","-62.920000","-62.920000","-62.920000","-62.920000","-62.920000","-62.920000","-62.920000","-62.920000","-62.920000","-62.920000","-62.920000","-62.920000"
"35","Cabo Verde","6750","Net Forest conversion","5110","Area","3050","FAO TIER 1","1000 ha","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
"35","Cabo Verde","6750","Net Forest conversion","72332","Net emissions/removals (CO2) (Forest land)","3050","FAO TIER 1","kilotonnes","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
"35","Cabo Verde","6749","Carbon stock change in forests","72332","Net emissions/removals (CO2) (Forest land)","3050","FAO TIER 1","kilotonnes","-510.490900","-510.490900","-510.490900","-510.490900","-510.490900","-510.490900","-510.490900","-510.490900","-510.490900","-510.490900","-510.490900","-62.920000","-62.920000","-62.920000","-62.920000","-62.920000","-62.920000","-62.920000","-62.920000","-62.920000","-62.920000","-62.920000","-62.920000","-62.920000","-62.920000","-62.920000","-62.920000","-62.920000","-62.920000","-62.920000","-62.920000"
"115","Cambodia","6751","Forestland","5110","Area","3050","FAO TIER 1","1000 ha","11004.790000","10982.411000","10960.032000","10937.653000","10915.274000","10892.895000","10870.516000","10848.137000","10825.758000","10803.379000","10781.000000","10761.823000","10742.646000","10723.469000","10704.292000","10685.115000","10665.938000","10646.761000","10627.584000","10608.407000","10589.230000","10240.748000","9892.266000","9543.784000","9195.302000","8846.820000","8691.130000","8535.440000","8379.750000","8224.060000","8068.370000"
"115","Cambodia","6751","Forestland","5110","Area","3051","UNFCCC","1000 ha",,,,,,,,,,,"11401.449000","11306.495000","11211.541000","11116.587000","11021.634000","10926.680000","10831.727000","10736.773000","10641.819000","10546.865000","10451.912000","9968.477000","9485.043000","9001.608000","8518.173000","8034.739000","7551.305000",,,,
"115","Cambodia","6751","Forestland","72332","Net emissions/removals (CO2) (Forest land)","3050","FAO TIER 1","kilotonnes","-607.721500","-607.721500","-607.721500","-607.721500","-607.721500","-607.721500","-607.721500","-607.721500","-607.721500","-607.721500","-607.721500","-1017.588800","-1017.588800","-1017.588800","-1017.588800","-1017.588800","-1017.588800","-1017.588800","-1017.588800","-1017.588800","-1017.588800","-14521.972200","-14521.972200","-14521.972200","-14521.972200","-14521.972200","-2224.461800","-2224.461800","-2224.461800","-2224.461800","-2224.461800"
"115","Cambodia","6750","Net Forest conversion","5110","Area","3050","FAO TIER 1","1000 ha","25.641000","25.641000","25.641000","25.641000","25.641000","25.641000","25.641000","25.641000","25.641000","25.641000","25.641000","24.639000","24.639000","24.639000","24.639000","24.639000","24.639000","24.639000","24.639000","24.639000","24.639000","426.430000","426.430000","426.430000","426.430000","426.430000","167.630000","167.630000","167.630000","167.630000","167.630000"
"115","Cambodia","6750","Net Forest conversion","5110","Area","3051","UNFCCC","1000 ha",,,,,,,,,,,"132.733000","132.733000","132.733000","132.733000","132.733000","132.733000","132.733000","132.733000","132.733000","132.733000","579.280000","579.280000","579.280000","579.280000","579.280000","579.280000","579.280000",,,,
"115","Cambodia","6750","Net Forest conversion","72332","Net emissions/removals (CO2) (Forest land)","3050","FAO TIER 1","kilotonnes","4777.003800","4777.003800","4777.003800","4777.003800","4777.003800","4777.003800","4777.003800","4777.003800","4777.003800","4777.003800","4777.003800","4590.327800","4590.327800","4590.327800","4590.327800","4590.327800","4590.327800","4590.327800","4590.327800","4590.327800","4590.327800","79445.330400","79445.330400","79445.330400","79445.330400","79445.330400","31230.027800","31230.027800","31230.027800","31230.027800","31230.027800"
